Name,Description,geometry,lon,lat
V31,,"c(149.77647126693, -33.9174037612196, 0)",149.7764712669295,-33.91740376121961
V32,,"c(149.787545144173, -33.914206220004, 0)",149.7875451441728,-33.91420622000401
V33,,"c(149.788493630955, -33.9213029841668, 0)",149.7884936309553,-33.92130298416682
V34,,"c(149.786022787784, -33.9275301158771, 0)",149.7860227877843,-33.92753011587715
V35,,"c(149.784959723275, -33.9321443672897, 0)",149.7849597232752,-33.93214436728969
V36,,"c(149.792478519286, -33.9373261599325, 0)",149.7924785192864,-33.93732615993254
V37,,"c(149.800913000158, -33.9292860968048, 0)",149.8009130001578,-33.92928609680482
V38,,"c(149.801502762213, -33.9244216646907, 0)",149.8015027622135,-33.92442166469071
V39,,"c(149.802947321512, -33.9158218768618, 0)",149.8029473215122,-33.91582187686184
V40,,"c(149.79834442733, -33.9098174285456, 0)",149.7983444273298,-33.90981742854555
V41,,"c(149.787405324491, -33.9083817166308, 0)",149.7874053244907,-33.90838171663084
V42,,"c(149.789346074697, -33.9026750277808, 0)",149.7893460746971,-33.90267502778075
V43,,"c(149.797141758661, -33.8989299395382, 0)",149.7971417586612,-33.89892993953823
V44,,"c(149.803140514935, -33.9036040635274, 0)",149.8031405149353,-33.90360406352736
V45,,"c(149.815114231595, -33.9090984457622, 0)",149.8151142315951,-33.9090984457622
V46,,"c(149.813795051086, -33.916705968317, 0)",149.8137950510856,-33.91670596831697
V47,,"c(149.814754397066, -33.9214075824543, 0)",149.8147543970656,-33.92140758245428
V48,,"c(149.814878415503, -33.9261204056561, 0)",149.8148784155028,-33.92612040565606
V49,,"c(149.812337074936, -33.9315837119064, 0)",149.8123370749364,-33.93158371190638
V50,,"c(149.806989575189, -33.9365708734582, 0)",149.8069895751891,-33.93657087345821
V51,,"c(149.806215149836, -33.9412440405794, 0)",149.8062151498357,-33.94124404057945
V52,,"c(149.821759540668, -33.9349495749699, 0)",149.8217595406678,-33.93494957496991
V53,,"c(149.823594030176, -33.9302070302895, 0)",149.8235940301757,-33.93020703028947
V54,,"c(149.829457074427, -33.923842991917, 0)",149.8294570744273,-33.92384299191702
V55,,"c(149.832416093643, -33.9155179485499, 0)",149.8324160936432,-33.91551794854989
V56,,"c(149.824795292399, -33.9122327967536, 0)",149.8247952923988,-33.91223279675365
V57,,"c(149.83660134463, -33.9107359710006, 0)",149.8366013446305,-33.91073597100057
V58,,"c(149.839602372596, -33.9059604073788, 0)",149.8396023725958,-33.90596040737883
V59,,"c(149.835921983908, -33.9018546616509, 0)",149.8359219839082,-33.90185466165094
V60,,"c(149.830647596917, -33.8977436278128, 0)",149.8306475969174,-33.89774362781277
V61,,"c(149.8309644247, -33.8906066132828, 0)",149.8309644246998,-33.89060661328281
V62,,"c(149.817855076083, -33.8920667149339, 0)",149.8178550760829,-33.89206671493386
V63,,"c(149.81650518256, -33.8966130526917, 0)",149.8165051825599,-33.89661305269174
V64,,"c(149.813554544343, -33.901703841128, 0)",149.8135545443426,-33.90170384112797
V65,,"c(149.80459833068, -33.8942414312536, 0)",149.80459833068,-33.89424143125361
V66,,"c(149.793568945996, -33.8938149451878, 0)",149.7935689459965,-33.89381494518781
V67,,"c(149.803632882116, -33.8894706870778, 0)",149.8036328821157,-33.88947068707777
V68,,"c(149.804640816626, -33.8846826383507, 0)",149.8046408166264,-33.8846826383507
V69,,"c(149.815008619074, -33.8862539936856, 0)",149.8150086190738,-33.88625399368556
V70,,"c(149.812085145447, -33.8781085561263, 0)",149.8120851454468,-33.87810855612626
V71,,"c(149.834429218361, -33.8840297253275, 0)",149.8344292183611,-33.88402972532752
V72,,"c(149.841508855042, -33.8887264837156, 0)",149.8415088550418,-33.88872648371558
V73,,"c(149.841108535455, -33.8954162818154, 0)",149.8411085354549,-33.89541628181544
V74,,"c(149.853867427814, -33.8792799919833, 0)",149.8538674278138,-33.87927999198333
V75,,"c(149.853819462083, -33.8745511389058, 0)",149.8538194620826,-33.87455113890576
V76,,"c(149.853178432226, -33.8664940568063, 0)",149.8531784322263,-33.86649405680627
V77,,"c(149.844750715965, -33.8635787233861, 0)",149.8447507159646,-33.86357872338608
G1,,"c(149.888179110316, -33.908401948822, 0)",149.8881791103157,-33.90840194882201
G2,,"c(149.893467797185, -33.9139969705521, 0)",149.8934677971847,-33.91399697055206
G3,,"c(149.904632380845, -33.9143835651177, 0)",149.9046323808448,-33.9143835651177
G4,,"c(149.918000682174, -33.9178527974086, 0)",149.9180006821737,-33.91785279740859
G5,,"c(149.916880295633, -33.9229429729831, 0)",149.9168802956327,-33.92294297298312
G6,,"c(149.898772324341, -33.9201451815464, 0)",149.8987723243407,-33.92014518154643
G7,,"c(149.880682441372, -33.9182006380342, 0)",149.8806824413721,-33.91820063803421
G8,,"c(149.871661720558, -33.9219105795873, 0)",149.8716617205583,-33.92191057958733
G9,,"c(149.882073030742, -33.9263078357817, 0)",149.8820730307418,-33.9263078357817
G10,,"c(149.870626987037, -33.929321019853, 0)",149.8706269870369,-33.92932101985305
G11,,"c(149.873777951094, -33.934707786262, 0)",149.8737779510945,-33.93470778626195
G12,,"c(149.86497021461, -33.9377824609008, 0)",149.8649702146102,-33.93778246090076
G13,,"c(149.893714712863, -33.9293275638677, 0)",149.8937147128627,-33.92932756386765
G14,,"c(149.895068329463, -33.9245467135438, 0)",149.8950683294628,-33.92454671354384
G15,,"c(149.905854722751, -33.9269015222281, 0)",149.9058547227513,-33.92690152222814
G16,,"c(149.905346067305, -33.9315031811567, 0)",149.9053460673052,-33.93150318115669
G17,,"c(149.913842056274, -33.9346000941332, 0)",149.9138420562739,-33.93460009413315
G18,,"c(149.911670268592, -33.9393657116299, 0)",149.9116702685917,-33.93936571162993
G19,,"c(149.903217961143, -33.9364307510868, 0)",149.9032179611428,-33.93643075108682
G20,,"c(149.917183651335, -33.9443956829365, 0)",149.917183651335,-33.94439568293649
G21,,"c(149.916017152967, -33.9506545177294, 0)",149.916017152967,-33.95065451772937
G22,,"c(149.903686625056, -33.9538089267265, 0)",149.9036866250562,-33.95380892672652
G23,,"c(149.904576074087, -33.948022334525, 0)",149.9045760740874,-33.94802233452499
G24,,"c(149.902292338535, -33.9422017469187, 0)",149.9022923385346,-33.94220174691866
G25,,"c(149.887171328142, -33.9387027667699, 0)",149.8871713281421,-33.93870276676988
G26,,"c(149.879488208145, -33.9421913346781, 0)",149.8794882081451,-33.94219133467809
G27,,"c(149.8707837685, -33.9465768451334, 0)",149.8707837684997,-33.94657684513344
G28,,"c(149.882652901552, -33.9514773272499, 0)",149.8826529015522,-33.95147732724988
G29,,"c(149.8756159041, -33.9566171295453, 0)",149.8756159041005,-33.95661712954527
G30,,"c(149.868690677409, -33.9512292816544, 0)",149.8686906774094,-33.95122928165439
G31,,"c(149.855968082345, -33.9491364171826, 0)",149.855968082345,-33.94913641718264
G32,,"c(149.845914267796, -33.9532659550795, 0)",149.845914267796,-33.95326595507949
G33,,"c(149.862140285753, -33.9559010412488, 0)",149.862140285753,-33.95590104124879
G34,,"c(149.87740241325, -33.9622549273558, 0)",149.87740241325,-33.96225492735581
G35,,"c(149.877726855597, -33.9733292074051, 0)",149.8777268555968,-33.9733292074051
G36,,"c(149.873931173653, -33.9688704867223, 0)",149.8739311736531,-33.96887048672232
G37,,"c(149.866522393482, -33.963726656454, 0)",149.8665223934817,-33.96372665645404
G38,,"c(149.855960683216, -33.9605779718425, 0)",149.855960683216,-33.9605779718425
G39,,"c(149.843754000941, -33.9580551989931, 0)",149.8437540009412,-33.95805519899307
G40,,"c(149.854984643765, -33.9655451560889, 0)",149.8549846437645,-33.96554515608887
G41,,"c(149.851208627459, -33.9704966449391, 0)",149.8512086274589,-33.9704966449391
G42,,"c(149.843662885624, -33.9667952406059, 0)",149.8436628856235,-33.96679524060588
G43,,"c(149.829907909424, -33.9669479184504, 0)",149.8299079094241,-33.96694791845044
G44,,"c(149.83961261019, -33.9716863108601, 0)",149.8396126101905,-33.97168631086014
G45,,"c(149.84230430898, -33.976154567424, 0)",149.8423043089804,-33.97615456742403
G46,,"c(149.839713031856, -33.9807559686377, 0)",149.8397130318565,-33.98075596863771
G47,,"c(149.845302586315, -33.9846762114276, 0)",149.8453025863151,-33.98467621142757
G48,,"c(149.840583023041, -33.9924969242615, 0)",149.8405830230408,-33.99249692426154
G49,,"c(149.841168831202, -33.9970346732487, 0)",149.8411688312019,-33.99703467324873
G50,,"c(149.82785032676, -33.998672137758, 0)",149.8278503267603,-33.99867213775796
G51,,"c(149.817833865897, -34.0017017399198, 0)",149.8178338658974,-34.00170173991979
G52,,"c(149.813685842853, -34.006310095769, 0)",149.8136858428533,-34.00631009576904
G53,,"c(149.828016028674, -34.0057387650599, 0)",149.8280160286741,-34.00573876505992
G54,,"c(149.841319070336, -34.0017470943166, 0)",149.841319070336,-34.00174709431661
G55,,"c(149.846209464319, -34.0061062943098, 0)",149.8462094643191,-34.00610629430977
G56,,"c(149.843333449346, -34.010820667713, 0)",149.8433334493458,-34.01082066771298
G57,,"c(149.826545536853, -34.0102750175992, 0)",149.8265455368528,-34.01027501759922
G58,,"c(149.816409541686, -34.0132309791528, 0)",149.8164095416858,-34.0132309791528
G59,,"c(149.824631461095, -34.0162006496169, 0)",149.8246314610952,-34.01620064961692
G60,,"c(149.837441168101, -34.016184903748, 0)",149.8374411681011,-34.01618490374803
G61,,"c(149.842130398558, -34.02305617902, 0)",149.8421303985577,-34.02305617902002
G62,,"c(149.854607540215, -34.0190357434799, 0)",149.8546075402146,-34.01903574347991
G63,,"c(149.860591181637, -34.0148274395999, 0)",149.8605911816366,-34.01482743959986
G64,,"c(149.860596731971, -34.01020247431, 0)",149.8605967319708,-34.01020247430998
G65,,"c(149.867620134003, -34.0052807961155, 0)",149.8676201340028,-34.00528079611551
G66,,"c(149.871756663054, -34.0008822315951, 0)",149.8717566630537,-34.00088223159507
G67,,"c(149.884075656063, -34.0021416184502, 0)",149.8840756560627,-34.0021416184502
G68,,"c(149.890470969137, -34.0079204505597, 0)",149.8904709691373,-34.00792045055969
G69,,"c(149.901683823814, -34.0102224900801, 0)",149.9016838238144,-34.01022249008012
G70,,"c(149.913341289342, -34.0081926900559, 0)",149.9133412893415,-34.00819269005589
G71,,"c(149.914103886636, -34.0035588652125, 0)",149.9141038866362,-34.00355886521248
G72,,"c(149.927203101316, -34.0016382770338, 0)",149.9272031013164,-34.00163827703382
G73,,"c(149.920702651124, -34.0119030189598, 0)",149.9207026511239,-34.01190301895983
G74,,"c(149.900509774134, -34.0147596700645, 0)",149.9005097741339,-34.01475967006447
G75,,"c(149.90020667648, -34.0194473539415, 0)",149.9002066764802,-34.01944735394145
G76,,"c(149.888127452969, -34.0190854613503, 0)",149.8881274529689,-34.01908546135034
G77,,"c(149.886945513412, -34.0125278488672, 0)",149.8869455134118,-34.0125278488672
G78,,"c(149.879212083734, -34.0070587010592, 0)",149.879212083734,-34.00705870105923
G79,,"c(149.876186534199, -34.0141673672102, 0)",149.8761865341988,-34.01416736721022
G80,,"c(149.86972734993, -34.0183768537015, 0)",149.8697273499302,-34.0183768537015
G81,,"c(149.868186838936, -34.0230769385882, 0)",149.8681868389361,-34.02307693858818
G82,,"c(149.864729862956, -34.0275230549139, 0)",149.8647298629556,-34.02752305491387
G83,,"c(149.855432880515, -34.0251630043306, 0)",149.8554328805148,-34.02516300433061
G84,,"c(149.844946714851, -34.027637504167, 0)",149.8449467148509,-34.02763750416702
G85,,"c(149.845667870501, -34.0323016834452, 0)",149.8456678705014,-34.03230168344518
G86,,"c(149.834516533831, -34.0338191948405, 0)",149.834516533831,-34.03381919484053
G87,,"c(149.829307746608, -34.0297159686346, 0)",149.8293077466078,-34.0297159686346
G88,,"c(149.825964634718, -34.0251015257986, 0)",149.8259646347176,-34.02510152579862
G89,,"c(149.831629063894, -34.020420023032, 0)",149.8316290638936,-34.02042002303197
G90,,"c(149.820576752273, -34.0209242140402, 0)",149.8205767522735,-34.02092421404019
G91,,"c(149.814676100276, -34.0292523217161, 0)",149.8146761002763,-34.02925232171611
G92,,"c(149.808551547193, -34.0350477945719, 0)",149.8085515471933,-34.03504779457187
G93,,"c(149.82170878709, -34.0352129098629, 0)",149.8217087870903,-34.0352129098629
G94,,"c(149.825847849672, -34.0394250103268, 0)",149.8258478496724,-34.03942501032675
G95,,"c(149.810153767104, -34.0398096622657, 0)",149.8101537671043,-34.0398096622657
G96,,"c(149.808209789191, -34.0446473383992, 0)",149.808209789191,-34.04464733839924
G97,,"c(149.830328978839, -34.0581556486769, 0)",149.8303289788389,-34.05815564867688
G98,,"c(149.849202125791, -34.0560793079538, 0)",149.8492021257906,-34.05607930795379
G99,,"c(149.856909130256, -34.0616607871103, 0)",149.8569091302558,-34.06166078711027
G100,,"c(149.846245223006, -34.0634031362638, 0)",149.8462452230056,-34.06340313626382
G101,,"c(149.834780183125, -34.0623807434158, 0)",149.8347801831245,-34.06238074341582
G102,,"c(149.832207601879, -34.0679022412044, 0)",149.8322076018792,-34.06790224120443
G103,,"c(149.831684206753, -34.0732534467445, 0)",149.831684206753,-34.07325344674454
G104,,"c(149.851595653114, -34.0697291929268, 0)",149.8515956531142,-34.06972919292678
G105,,"c(149.866980139745, -34.0662161991147, 0)",149.8669801397451,-34.06621619911473
G106,,"c(149.870170402532, -34.0708146792208, 0)",149.8701704025323,-34.07081467922077
G107,,"c(149.854618207474, -34.0741450843529, 0)",149.8546182074741,-34.07414508435288
G108,,"c(149.857609394017, -34.0785992306862, 0)",149.8576093940175,-34.07859923068615
G109,,"c(149.872068037148, -34.0756279827508, 0)",149.8720680371482,-34.07562798275081
G110,,"c(149.870390120815, -34.0818446017168, 0)",149.8703901208147,-34.08184460171679
G111,,"c(149.858977276335, -34.0832209282106, 0)",149.8589772763354,-34.08322092821055
G112,,"c(149.869453882153, -34.0868857846804, 0)",149.8694538821535,-34.08688578468036
G113,,"c(149.85864879951, -34.0897446814163, 0)",149.8586487995101,-34.08974468141626
G114,,"c(149.83869891749, -34.0963669381712, 0)",149.8386989174895,-34.09636693817118
G115,,"c(149.839948242818, -34.0909471497227, 0)",149.8399482428182,-34.09094714972266
G116,,"c(149.837519141654, -34.0844842170822, 0)",149.8375191416543,-34.08448421708221
G117,,"c(149.83247510958, -34.0801831190028, 0)",149.8324751095805,-34.08018311900281
