"recordID","scientificName","taxonConceptID","decimalLatitude","decimalLongitude","eventDate","occurrenceStatus","dataResourceName","multimedia","images","videos","sounds"
"b3bd0a45-ce28-4c6b-a8de-0bebab04be8e","Ornithorhynchus anatinus","https://biodiversity.org.au/afd/taxa/ac61fd14-4950-4566-b384-304bd99ca75f","-33.768784","149.942865","2017-04-15T14:00:00Z","PRESENT","ALA species sightings and OzAtlas","Image","b04653ec-17fb-4d38-af66-d788185ac655","",""
"b5a5a3fa-4598-4d8c-8504-ef427bccf718","Ornithorhynchus anatinus","https://biodiversity.org.au/afd/taxa/ac61fd14-4950-4566-b384-304bd99ca75f","-34.099989","149.661148","2023-12-31T00:00:00Z","PRESENT","cPlatypus","Video","","98278df3-e8c0-43bf-8ec9-3f53f2ade039",""
"c847f0da-d283-44ea-9448-5aeb1930da95","Ornithorhynchus anatinus","https://biodiversity.org.au/afd/taxa/ac61fd14-4950-4566-b384-304bd99ca75f","-33.82014","150.021743","2010-01-16T14:29:16Z","PRESENT","Encyclopedia of Life Images - Flickr Group","Image","55a3221a-e6bc-4e03-b44b-e1dc43762dc5","",""
"d15e51d2-be49-41ba-8c9e-c5fb6d60e4e3","Ornithorhynchus anatinus","https://biodiversity.org.au/afd/taxa/ac61fd14-4950-4566-b384-304bd99ca75f","-33.82642","150.020011","2018-06-09T12:16:00Z","PRESENT","iNaturalist Australia","Image","70ce0775-586c-4f9e-be30-b3410aa50b22 | 92615504-7e76-43f2-9df6-e03f1ff1322b","",""
"d3a42c2d-8b93-4265-8914-c127959b6689","Ornithorhynchus anatinus","https://biodiversity.org.au/afd/taxa/ac61fd14-4950-4566-b384-304bd99ca75f","-33.81934","150.025236","2012-12-27T09:49:00Z","PRESENT","iNaturalist Australia","Image","047850ce-998f-4bb5-b436-85878f8455fa | c166420d-24f7-43c2-89b1-7c8c3c0eb214 | fbc93861-4b43-4b2a-b686-9178ffeb6588","",""
"d6dcea6b-31bd-406d-809a-c20166da424e","Ornithorhynchus anatinus","https://biodiversity.org.au/afd/taxa/ac61fd14-4950-4566-b384-304bd99ca75f","-33.819499","150.024147","2014-05-22T14:26:00Z","PRESENT","ALA species sightings and OzAtlas","Image","f81c6e88-9e12-4aa0-ac38-5e1de06afa13","",""
"ef91b468-8543-4bb1-b3b2-7684f49303c1","Ornithorhynchus anatinus","https://biodiversity.org.au/afd/taxa/ac61fd14-4950-4566-b384-304bd99ca75f","-33.819374","150.023997","2013-12-20T19:08:00Z","PRESENT","ALA species sightings and OzAtlas","Image","615466e4-e26a-494f-ae7d-419371f380bb","",""
"f1da7b32-531c-4ef9-9612-c72b4bbe2c34","Ornithorhynchus anatinus","https://biodiversity.org.au/afd/taxa/ac61fd14-4950-4566-b384-304bd99ca75f","-33.819544","150.02475","2009-07-14T15:52:00Z","PRESENT","iNaturalist Australia","Image","3d62bfa9-3fad-4624-8d70-e5ebb837a6bd | 7ad98c80-e10e-4866-9061-a2f95d980318 | 98c238bb-65ea-4b7c-85a2-f3c1b328cb15","",""
"f42feae3-bc9f-48c9-a34e-f224a09bd7fc","Ornithorhynchus anatinus","https://biodiversity.org.au/afd/taxa/ac61fd14-4950-4566-b384-304bd99ca75f","-33.819766","150.025252","2012-06-06T09:05:00Z","PRESENT","iNaturalist Australia","Image","3febb155-b67e-462a-a9db-777be6deb8c9","",""
"f69718cf-4923-4adf-868d-edf020928290","Ornithorhynchus anatinus","https://biodiversity.org.au/afd/taxa/ac61fd14-4950-4566-b384-304bd99ca75f","-33.834779","150.032514","2017-11-25T22:16:00Z","PRESENT","iNaturalist Australia","Image","ef7fd881-e9e2-426b-924d-f3f2af66e41b | efca5398-7def-42c6-a2a8-e08180e4118e","",""
"faba5c47-abe1-457b-a013-3dd8d64c9bba","Ornithorhynchus anatinus","https://biodiversity.org.au/afd/taxa/ac61fd14-4950-4566-b384-304bd99ca75f","-33.819267","150.023997","2014-02-03T14:25:00Z","PRESENT","ALA species sightings and OzAtlas","Image","fb4549ef-ab78-422a-9913-13c681cc2cce","",""
